Region,District/Market,MaizeMinPrice,MaizeMaxPrice,RiceMinPrice,RiceMaxPrice,SorghumMinPrice,SorghumMaxPrice,BulrushMilletMinPrice,BulrushMilletMaxPrice,FingerMilletMinPrice,FingerMilletMaxPrice,WheatGrainMinPrice,WheatGrainMaxPrice,BeansMinPrice,BeansMaxPrice,IrishPotatoesMinPrice,IrishPotatoesMaxPrice
Dar es saalam,Ilala,73000,75000,220000,330000,NA,NA,NA,NA,NA,NA,NA,NA,320000,330000,53000,58000
Dar es saalam,Temeke,80000,130000,200000,280000,120000,130000,120000,130000,140000,200000,NA,NA,280000,350000,80000,100000
Kilimanjaro,Moshi,85000,85000,220000,220000,NA,NA,NA,NA,180000,180000,200000,200000,280000,280000,85000,85000
Singida,Singida,70000,75000,200000,350000,90000,120000,80000,85000,90000,120000,NA,NA,260000,400000,90000,85000
Arusha,Arusha,72000,75000,240000,300000,75000,80000,80000,85000,80000,85000,NA,NA,190000,240000,75000,70000
Dodoma,Majengo,76000,95000,235000,295000,73000,84000,72000,78000,113000,125000,NA,NA,270000,300000,82000,58000
Morogoro,Morogoro,105000,110000,220000,340000,120000,140000,120000,130000,120000,130000,230000,235000,260000,310000,64000,66000
Mtwara,Mtwara Dc,85000,100000,250000,320000,150000,150000,150000,150000,120000,120000,NA,NA,320000,320000,40000,40000
Lindi,Lindi Mc,90000,100000,200000,330000,NA,NA,NA,NA,180000,200000,NA,NA,270000,300000,90000,80000
Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,60000,55000
Tanga,Tanga,110000,110000,250000,250000,120000,120000,130000,130000,140000,140000,NA,NA,280000,280000,85000,85000
Tabora,Tabora,78000,82000,210000,300000,150000,160000,180000,190000,180000,190000,NA,NA,280000,310000,85000,90000
Kagera,Bukoba,80000,95000,190000,350000,160000,180000,170000,180000,160000,180000,200000,220000,190000,260000,95000,80000
Mara,Musoma,90000,90000,190000,190000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
Katavi,Mpimbwe,75000,75000,280000,280000,48000,60000,NA,NA,NA,NA,NA,NA,280000,280000,NA,NA
Manyara,Manyara,80000,102000,240000,300000,80000,90000,100000,120000,100000,120000,120000,130000,240000,270000,90000,90000
Mbeya,Mbeya,80000,80000,270000,270000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
Ruvuma,Songea,50000,55000,260000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,95000,98000
Shinyanga,Shinyanga,100000,120000,220000,300000,70000,150000,70000,200000,120000,170000,NA,NA,260000,280000,75000,80000
Mwanza,Mwanza,75000,95000,240000,300000,130000,180000,140000,180000,180000,180000,NA,NA,250000,300000,100000,100000
Pwani,Bariadi TC,110000,114000,200000,270000,NA,120000,NA,130000,82000,180000,83000,190000,83000,180000,85000,200000
Simiyu,Pwani,90000,90000,210000,220000,120000,130000,180000,190000,NA,150000,NA,160000,280000,300000,90000,75000
Kigoma,Kigoma,72200,72200,250000,250000,100000,100000,100000,100000,NA,NA,200000,200000,230000,230000,95000,95000
Rukwa,Sumbawanga,65000,65000,230000,230000,NA,NA,NA,NA,160000,240000,NA,NA,160000,220000,75000,75000
