Region,District,MaizeMinPrice,MaizeMaxPrice,RiceMinPrice,RiceMaxPrice,SorghumMinPrice,SorghumMaxPrice,BulrushMilletMinPrice,BulrushMilletMaxPrice,FingerMilletMinPrice,FingerMilletMaxPrice,WheatGrainMinPrice,WheatGrainMaxPrice,BeansMinPrice,BeansMaxPrice,IrishPotatoesMinPrice,IrishPotatoesMaxPrice
Dar es saalam,Ilala,75000,80000,220000,220000,NA,NA,NA,NA,NA,NA,NA,NA,64000,64000
Dar es saalam,Temeke,80000,85000,220000,220000,130000,140000,130000,140000,140000,180000,100000,100000
Kilimanjaro,Moshi,80000,90000,220000,330000,NA,NA,NA,NA,NA,NA,NA,NA,85000,85000
Singida,Singida,85000,90000,330000,350000,NA,NA,NA,NA,NA,NA,240000,350000,65000,75000
Arusha,Arusha,64000,100000,280000,280000,NA,NA,NA,NA,NA,NA,NA,NA,200000,350000
Dodoma,Majengo,64000,100000,280000,330000,130000,140000,130000,140000,130000,140000,240000,350000,65000,68000
Morogoro,Morogoro,100000,85000,330000,350000,NA,NA,NA,NA,NA,NA,260000,300000,70000,75000
Mtwara,Mtwara Dc,85000,90000,64000,64000,200000,230000,200000,230000,200000,230000,285000,295000,68000,73000
Lindi,Lindi Mc,65000,75000,100000,100000,NA,NA,NA,NA,NA,NA,200000,230000,69500,78500
Iringa,Iringa,75000,85000,85000,85000,240000,350000,240000,350000,240000,350000,290000,300000,70312,71875
Tanga,Tanga,90000,120000,90000,90000,70000,75000,75000,80000,85000,90000,200000,250000,140000,160000
Tabora,Tabora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,130000
Geita,Geita,240000,350000,200000,200000,NA,NA,NA,NA,NA,NA,NA,NA,120000,150000
Kagera,Bukoba,75000,85000,65000,68000,117000,124600,117000,124600,117000,124600,280000,320000,230000,235000
Mara,Musoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68900,67500
Katavi,Mpimbwe,90000,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85000,90000
Manyara,Manyara,180000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,150000
Mbeya,Mbeya,80000,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,150000
Ruvuma,Songea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,100000
Shinyanga,Shinyanga,280000,300000,200000,200000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000
Mwanza,Mwanza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000
Pwani,Pwani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000
Simiyu,Bariadi TC,65000,85000,75000,80000,68000,70000,68000,70000,68000,70000,77780,83300,260000,270000
Kigoma,Kigoma,90000,100000,75000,80000,245000,300000,245000,300000,245000,300000,NA,NA,90000,80000
Rukwa,Sumbawanga,55000,60000,110000,110000,68000,73000,68000,73000,68000,73000,120000,120000,75000,75000
02 FEBRUARI, 2024,,,,,,,,,,,,,,,,,,
