Region,District/Market,Millet Min Price,Millet Max Price,Maize Min Price,Maize Max Price,Sorghum Min Price,Sorghum Max Price,Rice Min Price,Rice Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Finger Millet Min Price,Finger Millet Max Price
Dar es saalam,Ilala,75000,80000,220000,330000,NA,NA,NA,NA,NA,NA,NA,NA,300000,330000,64000,64000
Dar es saalam,Temeke,80000,90000,220000,280000,130000,140000,130000,140000,140000,200000,NA,NA,280000,350000,100000,100000
Kilimanjaro,Moshi,65000,75000,220000,350000,NA,85000,NA,90000,NA,85000,NA,90000,180000,200000,85000,90000
Singida,Singida,65000,65000,200000,NA,85000,NA,90000,180000,90000,120000,200000,NA,240000,280000,85000,85000
Arusha,Arusha,65000,70000,260000,300000,70000,75000,75000,80000,95000,100000,NA,NA,200000,230000,70000,75000
Dodoma,Majengo,68500,72000,245000,310000,67000,73000,69800,80000,114000,124000,NA,NA,280000,298000,79500,89000
Morogoro,Morogoro,70312,70312,240000,280000,120000,140000,100000,100000,130000,150000,230000,235000,270000,280000,55300,61100
Mtwara,Mtwara Dc,85000,90000,250000,330000,150000,150000,150000,150000,100000,100000,180000,180000,320000,320000,40000,40000
Lindi,Lindi Mc,90000,100000,200000,350000,250000,300000,NA,NA,180000,200000,NA,NA,280000,300000,70000,75000
Iringa,Iringa,55000,60000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,58000,65000
Tanga,Tanga,110000,110000,250000,250000,120000,120000,120000,120000,150000,150000,NA,NA,250000,250000,70000,70000
Tabora,Tabora,78000,82000,200000,280000,150000,160000,180000,190000,180000,190000,NA,NA,260000,300000,100000,101000
Geita,Geita,92500,92500,220000,220000,240000,240000,220000,220000,260000,260000,190000,190000,330000,330000,95000,95000
Kagera,Bukoba,85000,90000,210000,350000,160000,180000,160000,180000,150000,170000,200000,220000,200000,250000,65000,85000
Katavi,Mpimbwe,75000,75000,250000,250000,45000,45000,NA,NA,120000,120000,280000,280000,250000,250000,NA,NA
Manyara,Manyara,80000,102000,250000,300000,80000,90000,90000,120000,90000,120000,130000,150000,240000,270000,90000,90000
Mbeya,Mbeya,80000,80000,270000,270000,200000,200000,200000,200000,200000,200000,NA,NA,250000,250000,80000,80000
Ruvuma,Songea,55000,60000,280000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,94000,94000
Shinyanga,Shinyanga,100000,120000,220000,300000,70000,150000,70000,180000,120000,170000,NA,NA,260000,280000,75000,80000
Mwanza,Mwanza,80000,90000,220000,260000,130000,180000,130000,180000,130000,180000,NA,NA,230000,240000,80000,90000
Pwani,Pwani,110000,114000,200000,280000,NA,NA,82000,83000,83000,85000,NA,NA,300000,320000,90000,93000
Simiyu,Bariadi TC,75000,78000,200000,210000,110000,120000,170000,180000,180000,200000,160000,160000,250000,270000,75000,75000
Kigoma,Kigoma,72200,77700,200000,250000,100000,150000,200000,200000,200000,200000,180000,350000,200000,220000,80000,80000
Rukwa,Sumbawanga,60000,70000,190000,200000,NA,NA,NA,NA,180000,200000,NA,NA,180000,240000,75000,75000
