Region,District,Min Price Maize (Mahindi),Max Price Maize (Mahindi),Min Price Rice (Mchele),Max Price Rice (Mchele),Min Price Sorghum (Mtama),Max Price Sorghum (Mtama),Min Price Finger Millet (Ulezi),Max Price Finger Millet (Ulezi),Min Price Bulrush Millet (Uwele),Max Price Bulrush Millet (Uwele),Min Price Wheat Grain (Ngano),Max Price Wheat Grain (Ngano),Min Price Beans (Maharage),Max Price Beans (Maharage),Min Price Irish Potatoes (Viazi Mviringo),Max Price Irish Potatoes (Viazi Mviringo)
Dar es saalam,Ilala,64000,67000,200000,350000,NA,NA,NA,NA,NA,NA,NA,NA,270000,310000,64000,67000
Dar es saalam,Temeke,80000,90000,220000,280000,130000,140000,130000,140000,140000,200000,NA,NA,280000,350000,100000,100000
Kilimanjaro,Moshi,45000,45000,220000,260000,NA,NA,NA,NA,180000,180000,200000,200000,220000,260000,90000,90000
Singida,Singida,65000,70000,180000,350000,55000,120000,60000,65000,100000,120000,NA,NA,230000,320000,85000,95000
Arusha,Majengo,62000,65000,260000,300000,70000,75000,75000,80000,100000,110000,NA,100000,260000,290000,80000,90000
Dodoma,Arusha,60000,65000,235000,295000,70000,85000,50000,65000,100000,145000,145000,160000,240000,82000,92000
Morogoro,Morogoro,46875,57812,240000,280000,120000,140000,100000,100000,130000,150000,230000,235000,270000,280000,72000,78000
Mtwara,Mtwara Dc,85000,90000,300000,300000,150000,150000,150000,150000,100000,100000,180000,180000,280000,280000,85000,90000
Lindi,Lindi Mc,90000,100000,200000,300000,250000,300000,NA,NA,180000,200000,NA,NA,280000,300000,70000,75000
Iringa,Iringa,50000,60000,200000,320000,120000,130000,150000,180000,150000,160000,NA,NA,200000,260000,50000,55000
Mara,Musoma,47000,50000,190000,195000,150000,160000,150000,150000,150000,150000,230000,250000,200000,280000,100000,100000
Tanga,Tanga,110000,110000,250000,250000,120000,120000,120000,120000,150000,150000,NA,NA,250000,250000,70000,70000
Tabora,Tabora,78000,82000,200000,280000,150000,160000,180000,190000,180000,190000,NA,NA,260000,300000,100000,101000
Geita,Geita,50000,50000,190000,190000,150000,150000,150000,150000,230000,230000,190000,190000,290000,290000,90000,90000
Kagera,Bukoba,85000,90000,210000,350000,160000,180000,160000,180000,150000,170000,200000,220000,200000,250000,65000,85000
Katavi,Mpimbwe,75000,75000,250000,250000,45000,45000,NA,NA,120000,120000,280000,280000,250000,250000,NA,NA
Manyara,Manyara,80000,96000,250000,300000,80000,90000,90000,120000,90000,120000,130000,150000,150000,210000,85000,85000
Mbeya,Mbeya,60000,65000,260000,280000,200000,200000,150000,200000,150000,160000,150000,170000,250000,270000,100000,100000
Ruvuma,Songea,50000,55000,260000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,90000,90000
Shinyanga,Shinyanga,72000,84000,200000,240000,150000,200000,200000,200000,200000,200000,NA,NA,220000,220000,75000,80000
Mwanza,Mwanza,70000,75000,200000,250000,130000,160000,120000,160000,140000,170000,NA,NA,200000,215000,80000,90000
Pwani,Pwani,110000,114000,200000,280000,NA,NA,82000,83000,83000,85000,NA,NA,300000,320000,90000,93000
Simiyu,Bariadi TC,60000,62000,170000,180000,150000,160000,180000,200000,180000,200000,250000,250000,250000,260000,120000,130000
Kigoma,Kigoma,72200,77700,200000,250000,100000,150000,200000,200000,200000,200000,180000,350000,200000,220000,80000,80000
Rukwa,Sumbawanga,55000,60000,190000,220000,NA,NA,NA,NA,180000,200000,100000,120000,100000,170000,60000,75000
,,,,,BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS/KILO 100) 13 Machi, 2024,,,,,,,,,,,,,,,
