Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,64000,80000,200000,220000,250000,280000,NA,NA,NA,NA,NA,NA,270000,280000,64000,60000
Dar es saalam,Temeke,67000,90000,270000,280000,310000,350000,130000,140000,130000,140000,200000,140000,280000,310000,100000,100000
Kilimanjaro,Moshi,65000,65000,220000,220000,NA,NA,NA,NA,180000,180000,200000,200000,280000,280000,85000,85000
Singida,Singida,65000,70000,180000,350000,55000,120000,60000,65000,120000,100000,NA,NA,230000,320000,85000,95000
Arusha,Arusha,67000,68000,260000,300000,70000,75000,75000,80000,100000,120000,100000,120000,180000,200000,90000,80000
Dodoma,Majengo,50000,62000,220000,295000,65000,70000,50000,62000,110000,140000,NA,NA,260000,295000,92000,84000
Morogoro,Morogoro,46875,57812,240000,280000,120000,130000,100000,100000,150000,130000,230000,235000,270000,280000,68000,59000
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi Mc,90000,100000,250000,300000,250000,300000,200000,300000,180000,200000,350000,400000,280000,300000,70000,75000
Iringa,Iringa,50000,60000,200000,320000,120000,130000,150000,180000,160000,150000,180000,200000,200000,260000,55000,50000
Mara,Musoma,47000,50000,190000,195000,150000,160000,150000,150000,150000,150000,230000,250000,200000,280000,100000,100000
Tanga,Tanga,110000,110000,250000,250000,120000,120000,120000,120000,150000,150000,NA,NA,250000,250000,70000,70000
Tabora,Tabora,78000,82000,200000,280000,150000,160000,180000,190000,180000,190000,NA,NA,260000,300000,101000,100000
Geita,Geita,50000,55000,200000,200000,150000,150000,150000,150000,230000,230000,190000,190000,290000,290000,90000,190000
Kagera,Bukoba,85000,90000,210000,350000,160000,180000,160000,180000,170000,150000,200000,220000,200000,250000,65000,85000
Katavi,Mpimbwe,60000,60000,210000,210000,150000,150000,NA,NA,180000,180000,280000,280000,250000,250000,NA,NA
Manyara,Manyara,80000,96000,250000,300000,80000,90000,90000,120000,120000,90000,130000,150000,150000,210000,85000,85000
Mbeya,Mbeya,160000,160000,350000,350000,250000,250000,200000,200000,220000,220000,220000,220000,400000,400000,100000,100000
Ruvuma,Songea,55000,60000,280000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,94000,94000
Shinyanga,Shinyanga,72000,84000,220000,300000,70000,150000,70000,200000,120000,170000,NA,NA,240000,280000,80000,75000
Mwanza,Mwanza,70000,75000,200000,250000,130000,160000,120000,160000,140000,170000,NA,NA,200000,215000,90000,80000
Pwani,Pwani,110000,114000,200000,280000,NA,NA,82000,83000,83000,85000,NA,NA,300000,320000,90000,93000
Simiyu,Bariadi TC,60000,62000,170000,180000,150000,160000,180000,200000,200000,180000,250000,250000,250000,260000,88000,90000
Kigoma,Kigoma,50000,55560,200000,250000,120000,150000,150000,150000,150000,130000,200000,200000,180000,200000,80000,80000
Rukwa,Sumbawanga,50000,70000,200000,240000,NA,NA,NA,NA,120000,150000,100000,120000,90000,150000,50000,60000
