Region / Mkoa,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,54000,80000,200000,350000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,65000,80000
Dar es saalam,Temeke,64000,90000,180000,280000,100000,100000,100000,100000,140000,146000,145000,145000,260000,300000,68000,90000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,ubungo,NA,100000,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Kinondoni,NA,100000,160000,300000,110000,110000,100000,100000,130000,150000,140000,140000,240000,300000,65000,65000
Kilimanjaro,Moshi,70000,80000,250000,350000,NA,150000,200000,200000,200000,200000,300000,200000,80000,120000,80000,80000
Singida,Singida,60000,70000,180000,350000,80000,80000,95000,120000,180000,200000,250000,350000,120000,95000
Arusha,Arusha,60000,65000,260000,300000,70000,80000,100000,100000,200000,80000
Dodoma,Majengo,65000,70000,200000,280000,62000,65000,110000,NA,240000,85000
Morogoro,Morogoro,46875,58593,240000,280000,120000,100000,130000,230000,250000,61300
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,75000,200000,75000,320000,75000
Lindi,Lindi Mc,90000,100000,230000,380000,200000,280000,180000,400000,280000,70000
Iringa,Iringa,55000,60000,180000,300000,130000,150000,180000,180000,200000,60000
Mara,Musoma,52000,55000,190000,195000,170000,180000,180000,280000,200000,120000
Tanga,Tanga,100000,100000,200000,200000,120000,200000,100000,NA,240000,100000
Songwe,Songwe,33300,40000,240000,240000,150000,NA,150000,250000,150000,120000
Tabora,Tabora,58000,60000,175000,240000,145000,180000,185000,NA,240000,85000
Geita,Geita,44000,44000,180000,180000,150000,230000,190000,NA,260000,130000
Kagera,Bukoba,55000,60000,180000,350000,150000,160000,140000,180000,65000
Katavi,Mpimbwe,40000,40000,220000,220000,100000,NA,100000,NA,240000,100000
Manyara,Manyara,42000,60000,240000,300000,80000,90000,80000,130000,150000,90000
Mbeya,Mbeya,60000,60000,250000,250000,85000,125000,100000,125000,230000,60000
Ruvuma,Songea,40000,50000,260000,320000,NA,NA,NA,NA,250000,80000
Shinyanga,Shinyanga,60000,60000,220000,220000,130000,100000,170000,200000,250000,120000
Mwanza,Mwanza,60000,60000,200000,240000,130000,120000,140000,NA,210000,95000
Pwani,Pwani,100000,100000,190000,280000,150000,200000,200000,200000,270000,200000
Simiyu,Bariadi TC,60000,60000,180000,190000,80000,180000,180000,230000,250000,150000
Kigoma,Kigoma,50000,50000,180000,250000,150000,100000,120000,170000,210000,90000
Rukwa,Sumbawanga,50000,70000,180000,240000,NA,NA,120000,100000,90000,50000
