Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,54000,64000,200000,350000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,65000,68000
Dar es saalam,Temeke,80000,100000,180000,280000,100000,110000,100000,110000,140000,170000,260000,280000,90000,80000,
Dar es saalam,Tandale,90000,100000,280000,300000,100000,110000,100000,110000,146000,170000,300000,300000,90000,90000,
Dar es saalam,Ubungo,NA,90000,210000,170000,NA,100000,NA,100000,NA,130000,240000,180000,65000,80000,
Dar es saalam,Kinondoni,NA,90000,280000,300000,NA,100000,NA,100000,NA,150000,270000,300000,60000,60000
Kilimanjaro,Moshi,70000,80000,250000,350000,NA,NA,150000,150000,200000,200000,250000,350000,80000,120000
Singida,Singida,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Arusha,52000,55000,260000,300000,70000,75000,80000,85000,102000,103000,200000,240000,80000,85000
Dodoma,Majengo,65000,70000,200000,280000,62000,70000,65000,70000,110000,130000,240000,280000,85000,100000
Morogoro,Morogoro,46875,58593,240000,280000,150000,160000,135000,160000,130000,170000,280000,300000,91600,94440
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,320000,320000,75000,85000
Lindi,Lindi Mc,90000,100000,200000,380000,200000,280000,280000,300000,180000,200000,350000,400000,280000,290000,90000,90000
Iringa,Iringa,55000,60000,180000,300000,130000,150000,150000,200000,180000,200000,200000,280000,70000,60000
Mara,Musoma,52000,55000,190000,195000,170000,190000,180000,190000,180000,200000,200000,280000,150000,120000
Tanga,Tanga,120000,120000,200000,200000,130000,150000,200000,NA,200000,150000,NA,200000,110000,110000,150000,150000
Songwe,Songwe,33300,55500,190000,230000,130000,150000,200000,NA,200000,150000,NA,240000,NA,200000,150000,150000
Tabora,Tabora,58000,60000,170000,240000,145000,150000,180000,190000,185000,190000,240000,260000,90000,85000
Geita,Geita,50000,50000,190000,190000,140000,140000,230000,230000,190000,190000,250000,250000,150000,150000
Kagera,Bukoba,55000,60000,180000,350000,150000,170000,160000,180000,140000,160000,180000,250000,89000,65000
Katavi,Mpimbwe,40000,40000,250000,250000,100000,100000,NA,NA,200000,200000,240000,240000,100000,100000
Manyara,Manyara,42000,60000,240000,300000,80000,90000,90000,110000,80000,110000,150000,180000,90000,90000
Mbeya,Mbeya,60000,60000,250000,250000,85000,85000,125000,125000,100000,100000,230000,230000,60000,60000
Ruvuma,Songea,40000,50000,260000,320000,NA,NA,NA,NA,NA,NA,250000,280000,90000,80000
Shinyanga,Shinyanga,60000,60000,220000,220000,130000,130000,100000,100000,170000,170000,250000,250000,120000,120000
Mwanza,Mwanza,60000,60000,200000,240000,130000,160000,120000,150000,140000,170000,210000,220000,95000,95000
Pwani,Pwani,100000,100000,190000,280000,150000,150000,200000,200000,200000,200000,270000,280000,180000,200000
Simiyu,Bariadi TC,60000,60000,180000,190000,80000,150000,180000,100000,180000,120000,230000,250000,150000,150000
Kigoma,Kigoma,50000,50000,250000,80000,150000,200000,100000,120000,170000,250000,120000,100000
Rukwa,Sumbawanga,50000,70000,180000,240000,NA,NA,NA,NA,120000,150000,90000,150000,60000,50000
