Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Sorghum Min Price,Sorghum Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,54000,64000,200000,350000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,65000,68000
Dar es saalam,Temeke,90000,110000,220000,300000,130000,130000,120000,120000,160000,180000,170000,180000,290000,320000,100000,90000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,50000,210000,280000,ΝΑ,120000,NA,140000,NA,170000,NA,140000,240000,270000,65000,75000
Kinondoni,,NA,80000,170000,220000,NA,NA,NA,NA,NA,NA,NA,NA,310000,330000,80000,80000
Kilimanjaro,Moshi,70000,80000,250000,350000,NA,NA,150000,150000,200000,200000,200000,200000,250000,350000,80000,120000
Singida,Singida,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Arusha,60000,70000,260000,300000,70000,75000,80000,85000,102000,103000,100000,120000,200000,240000,85000,80000
Dodoma,Majengo,60000,65000,190000,220000,55000,60000,60000,65000,120000,130000,NA,NA,240000,260000,85000,90000
Morogoro,Morogoro,46875,57843,240000,280000,120000,130000,120000,135000,140000,150000,180000,200000,180000,200000,77800,80000
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi Mc,90000,100000,180000,380000,200000,280000,280000,300000,180000,200000,350000,400000,280000,290000,95000,90000
Iringa,Iringa,55000,60000,180000,300000,130000,150000,150000,200000,180000,200000,180000,200000,200000,280000,60000,70000
Mara,Musoma,52000,55000,190000,195000,170000,190000,180000,190000,180000,200000,280000,280000,200000,280000,150000,120000
Tanga,Tanga,100000,100000,200000,200000,130000,150000,200000,NA,200000,180000,NA,240000,NA,240000,100000,150000
Songwe,Songwe,33300,55500,190000,230000,150000,150000,NA,200000,150000,150000,NA,150000,NA,150000,100000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Geita,50000,50000,170000,170000,150000,150000,230000,230000,180000,180000,NA,NA,250000,250000,140000,140000
Kagera,Bukoba,55000,60000,180000,350000,150000,170000,160000,180000,140000,160000,180000,220000,180000,250000,89000,65000
Katavi,Mpimbwe,45000,45000,250000,250000,150000,150000,NA,NA,150000,150000,NA,NA,280000,280000,150000,150000
Manyara,Manyara,40000,60000,240000,300000,80000,90000,80000,110000,90000,110000,130000,150000,200000,240000,90000,90000
Mbeya,Mbeya,60000,60000,250000,250000,85000,85000,125000,125000,100000,100000,125000,125000,230000,230000,60000,60000
Ruvuma,Songea,45000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,80000,85000
Shinyanga,Shinyanga,50000,50000,220000,220000,120000,120000,90000,90000,160000,160000,200000,200000,250000,250000,90000,90000
Mwanza,Mwanza,60000,60000,200000,240000,130000,160000,120000,150000,140000,170000,NA,NA,210000,220000,95000,95000
Pwani,Pwani,100000,100000,190000,280000,150000,150000,200000,200000,200000,200000,200000,200000,260000,280000,200000,200000
Simiyu,Bariadi TC,60000,60000,190000,200000,80000,80000,180000,200000,180000,200000,230000,200000,250000,270000,150000,150000
Kigoma,Kigoma,55000,55000,180000,250000,150000,150000,NA,NA,200000,200000,200000,200000,270000,250000,100000,110000
Rukwa,Sumbawanga,50000,70000,180000,240000,NA,NA,NA,NA,120000,150000,100000,120000,90000,150000,60000,50000
,BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS/KILO 100) 15 PRILI, 2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
