Region,District,Market,Maize_Min_Price,Maize_Max_Price,Rice_Min_Price,Rice_Max_Price,Sorghum_Min_Price,Sorghum_Max_Price,Bulrush_Millet_Min_Price,Bulrush_Millet_Max_Price,Finger_Millet_Min_Price,Finger_Millet_Max_Price,Wheat_Grain_Min_Price,Wheat_Grain_Max_Price,Beans_Min_Price,Beans_Max_Price,Irish_Potatoes_Min_Price,Irish_Potatoes_Max_Price
Dar es saalam,Dar es saalam,Ilala,54000,90000,64000,110000,200000,220000,350000,300000,NA,130000,NA,130000,NA,120000,NA,120000,65000,90000
Dar es saalam,Dar es saalam,Temeke,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,170000,180000,280000,290000,68000,100000
Dar es saalam,Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Dar es saalam,Kinondoni,50000,80000,170000,250000,110000,130000,100000,120000,150000,200000,140000,160000,310000,330000,75000,80000
Kilimanjaro,Moshi,Moshi,70000,80000,250000,350000,NA,NA,150000,150000,200000,200000,200000,200000,250000,350000,80000,120000
Singida,Singida,Singida,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Arusha,Arusha,60000,70000,260000,300000,70000,75000,85000,90000,102000,103000,100000,120000,200000,240000,80000,85000
Dodoma,Dodoma,Majengo,60000,65000,190000,260000,55000,60000,50000,55000,120000,140000,NA,NA,200000,260000,80000,85000
Morogoro,Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,180000,200000,78000,81000
Mtwara,Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi,Lindi Mc,90000,100000,180000,350000,200000,280000,280000,300000,180000,200000,350000,400000,280000,290000,90000,95000
Iringa,Iringa,Iringa,55000,60000,180000,300000,130000,150000,150000,200000,180000,200000,180000,200000,200000,280000,60000,70000
Mara,Mara,Musoma,52000,55000,190000,195000,170000,190000,180000,190000,180000,200000,280000,280000,200000,280000,120000,150000
Tanga,Tanga,Songwe,100000,100000,200000,200000,130000,130000,200000,200000,180000,180000,NA,NA,NA,240000,100000,100000
Songwe,Songwe,Songwe,33300,55500,190000,230000,150000,150000,NA,NA,150000,150000,200000,200000,240000,150000,150000,150000
Tabora,Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Geita,Geita,50000,50000,170000,170000,150000,150000,230000,230000,180000,180000,NA,NA,250000,250000,140000,140000
Kagera,Kagera,Bukoba,50000,55000,170000,340000,150000,160000,160000,170000,140000,160000,190000,210000,150000,200000,60000,80000
Katavi,Katavi,Mpimbwe,45000,45000,250000,250000,150000,150000,NA,NA,150000,150000,NA,NA,280000,280000,150000,150000
Manyara,Manyara,Manyara,40000,60000,240000,300000,80000,90000,80000,110000,90000,110000,130000,150000,200000,240000,90000,90000
Mbeya,Mbeya,Mbeya,60000,60000,250000,250000,85000,85000,125000,125000,100000,100000,125000,125000,230000,230000,60000,60000
Ruvuma,Ruvuma,Songea,45000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,80000,85000
Shinyanga,Shinyanga,Shinyanga,50000,50000,220000,220000,120000,120000,90000,90000,160000,160000,200000,200000,250000,250000,90000,90000
Mwanza,Mwanza,Mwanza,60000,60000,200000,240000,130000,160000,120000,150000,140000,170000,NA,NA,210000,220000,95000,95000
Pwani,Pwani,Pwani,100000,100000,190000,280000,150000,150000,200000,200000,200000,200000,200000,200000,270000,280000,200000,200000
Simiyu,Simiyu,Bariadi TC,60000,60000,180000,190000,80000,100000,180000,200000,180000,200000,230000,250000,270000,250000,150000,150000
Kigoma,Kigoma,Kigoma,55000,55000,250000,250000,150000,150000,NA,NA,200000,200000,200000,200000,270000,270000,100000,110000
Rukwa,Rukwa,Sumbawanga,50000,60000,180000,240000,NA,NA,NA,NA,120000,150000,100000,120000,90000,150000,50000,60000
