Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,54000,64000,200000,350000,NA,NA,NA,NA,NA,NA,NA,NA,310000,280000,65000,68000
Dar es saalam,Temeke,90000,110000,300000,220000,130000,140000,120000,130000,160000,180000,170000,180000,290000,320000,90000,100000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,300000,280000,90000,90000
Dar es saalam,Ubungo,NA,NA,280000,210000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Kinondoni,50000,80000,250000,170000,110000,130000,120000,100000,150000,200000,140000,160000,310000,330000,75000,80000
Kilimanjaro,Moshi,70000,80000,250000,350000,NA,NA,150000,150000,200000,200000,200000,200000,250000,350000,120000,80000
Singida,Singida,60000,70000,180000,350000,120000,80000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Arusha,60000,70000,260000,300000,75000,70000,90000,85000,102000,103000,100000,120000,240000,200000,80000,85000
Dodoma,Majengo,60000,65000,190000,260000,55000,60000,55000,50000,120000,140000,NA,NA,260000,200000,80000,85000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,200000,180000,78000,81000
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,85000,75000
Lindi,Lindi Mc,90000,100000,350000,180000,280000,200000,300000,280000,200000,180000,350000,400000,280000,290000,95000,90000
Iringa,Iringa,55000,60000,200000,280000,150000,130000,200000,150000,200000,180000,200000,180000,200000,280000,60000,70000
Mara,Musoma,54000,56000,180000,190000,200000,180000,200000,180000,180000,200000,240000,253300,250000,300000,140000,130000
Tanga,Tanga,100000,100000,230000,230000,130000,130000,200000,200000,200000,200000,NA,NA,230000,230000,100000,100000
Songwe,Songwe,33300,55500,230000,190000,150000,150000,NA,NA,150000,150000,200000,200000,150000,150000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,150000,145000,190000,180000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Geita,50000,50000,170000,170000,150000,150000,230000,230000,180000,180000,NA,NA,250000,250000,140000,140000
Kagera,Bukoba,50000,55000,340000,170000,160000,150000,170000,160000,140000,160000,190000,210000,200000,140000,60000,80000
Katavi,Mpimbwe,45000,45000,250000,250000,150000,150000,NA,NA,150000,150000,NA,NA,280000,280000,150000,150000
Manyara,Manyara,40000,60000,300000,240000,90000,80000,110000,80000,110000,90000,130000,150000,200000,240000,90000,90000
Mbeya,Mbeya,60000,60000,250000,250000,85000,85000,125000,125000,100000,100000,125000,125000,232000,232000,60000,60000
Ruvuma,Songea,45000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,80000,85000
Shinyanga,Shinyanga,50000,50000,220000,220000,120000,120000,90000,90000,160000,160000,200000,200000,250000,250000,90000,90000
Mwanza,Mwanza,60000,60000,200000,240000,160000,130000,120000,150000,140000,170000,NA,NA,210000,220000,95000,95000
Pwani,Pwani,100000,100000,190000,280000,150000,140000,200000,200000,200000,200000,200000,200000,270000,280000,180000,200000
Simiyu,Bariadi TC,60000,60000,190000,180000,80000,100000,180000,200000,200000,180000,250000,230000,270000,270000,150000,150000
Kigoma,Kigoma,55000,55000,180000,250000,150000,150000,NA,NA,200000,200000,200000,200000,250000,250000,100000,110000
Rukwa,Sumbawanga,50000,60000,180000,240000,NA,NA,NA,NA,150000,120000,120000,100000,90000,150000,50000,60000
