Region,District,Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Dar es saalam,Ilala,64000,90000,200000,310000,NA,NA,NA,NA,NA,NA,280000,310000,80000,100000
Dar es saalam,Dar es saalam,Temeke,74000,120000,180000,260000,100000,120000,110000,120000,170000,180000,220000,240000,85000,100000
Dar es saalam,Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,80000
Dar es saalam,Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,240000,270000,65000,
Kilimanjaro,Kilimanjaro,Moshi,70000,80000,250000,350000,NA,NA,NA,NA,150000,200000,250000,310000,70000,75000
Dar es saalam,Mwananyamala,100000,100000,300000,NA,100000,100000,100000,100000,200000,200000,350000,350000,80000,120000
Singida,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Arusha,kilombero,55000,70000,260000,300000,70000,75000,85000,90000,102000,103000,100000,120000,200000,240000,80000,85000
Dodoma,Dodoma,Majengo,50000,55000,180000,270000,55000,60000,50000,55000,120000,130000,NA,NA,250000,260000,80000,85000
Morogoro,Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,280000,290000,79000,81600
Mtwara,Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi,Lindi mjin,90000,100000,180000,350000,200000,280000,280000,300000,180000,200000,350000,400000,280000,290000,90000,95000
Iringa,Iringa,Iringa,50000,55000,170000,280000,130000,150000,150000,200000,180000,200000,180000,200000,200000,280000,60000,70000
Mara,Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Tanga,Mgandini,100000,100000,180000,190000,120000,150000,200000,NA,160000,160000,NA,240000,100000
Songwe,Songwe,Songwe,33300,55500,180000,230000,120000,150000,NA,150000,200000,200000,150000
Tabora,Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Geita,Nyankumbu,60000,60000,155000,155000,140000,140000,200000,200000,170000,170000,NA,NA,260000,260000,150000,150000
Kagera,Kagera,Bukoba,50000,55000,350000,160000,170000,170000,180000,150000,160000,180000,200000,180000,220000,65000,85000
Katavi,Katavi,Majengo,55000,55000,250000,250000,200000,200000,NA,NA,200000,200000,NA,NA,280000,280000,150000,150000
Manyara,Manyara,BabatiTC,42000,60000,220000,300000,80000,90000,90000,110000,130000,150000,210000,240000,90000,90000
Mbeya,Mbeya,Igawilo/Soweto,60000,60000,240000,90000,125000,100000,125000,225000,225000,65000,65000
Ruvuma,Ruvuma,Songea,45000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,80000,85000
Shinyanga,Shinyanga,Shinyanga,60000,60000,150000,200000,100000,110000,90000,90000,150000,150000,230000,230000,250000,250000,90000,90000
Mwanza,Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Pwani,Pwani,100000,100000,190000,280000,140000,140000,200000,200000,200000,200000,250000,250000,260000,280000,200000,200000
Simiyu,Simiyu,Bariadi TC,60000,60000,170000,180000,80000,100000,180000,200000,180000,200000,230000,250000,270000,270000,150000,150000
Kigoma,Kigoma,Kigoma,50000,50000,150000,170000,100000,100000,NA,NA,100000,100000,170000,170000,250000,250000,100000,110000
Rukwa,Rukwa,Sumbawanga,60000,70000,180000,240000,NA,NA,NA,NA,120000,150000,95000,100000,100000,190000,50000,75000
