Region,District/Market,Maize (Mahindi) Min Price,Maize (Mahindi) Max Price,Finger Millet (Ulezi) Min Price,Finger Millet (Ulezi) Max Price,Rice (Mchele) Min Price,Rice (Mchele) Max Price,Sorghum (Mtama) Min Price,Sorghum (Mtama) Max Price,Bulrush Millet (Uwele) Min Price,Bulrush Millet (Uwele) Max Price,Wheat Grain (Ngano) Min Price,Wheat Grain (Ngano) Max Price,Beans (Maharage) Min Price,Beans (Maharage) Max Price,Irish Potatoes (Viazi Min Price,Irish Potatoes (Viazi Max Price
Dar es saalam,Ilala,64000,74000,200000,310000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,85000,80000
Dar es saalam,Temeke,52000,54000,220000,300000,130000,140000,120000,130000,170000,180000,170000,180000,290000,320000,100000,100000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,mwananyamala,100000,100000,170000,170000,100000,100000,100000,100000,170000,170000,160000,160000,280000,280000,75000,70000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,250000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,kilombero,60000,70000,260000,300000,70000,75000,85000,90000,103000,105000,95000,100000,200000,240000,85000,80000
Dodoma,Majengo,48000,50000,230000,270000,50000,55000,50000,55000,130000,150000,NA,NA,260000,270000,85000,80000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,280000,290000,79000,81600
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,85000,75000
Lindi,Lindi mjin,90000,100000,180000,350000,200000,280000,280000,300000,180000,200000,350000,400000,280000,290000,95000,90000
Iringa,Iringa,50000,55000,170000,260000,130000,150000,150000,180000,130000,150000,180000,200000,200000,250000,70000,60000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,120000,120000,170000,170000,120000,120000,200000,200000,200000,200000,NA,NA,250000,250000,110000,110000
Songwe,Songwe,33300,55500,190000,230000,150000,150000,NA,NA,150000,150000,200000,200000,150000,150000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,100000,90000
Geita,Nyankumbu,55000,55000,160000,160000,140000,140000,190000,190000,170000,170000,NA,NA,250000,250000,140000,140000
Kagera,Bukoba,50000,55000,150000,320000,160000,170000,170000,180000,150000,160000,180000,200000,180000,220000,65000,85000
Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
Manyara,BabatiTC,42000,60000,220000,300000,80000,90000,80000,110000,90000,110000,130000,150000,210000,240000,90000,90000
Mbeya,Igawilo/soweto,60000,60000,220000,220000,90000,90000,125000,125000,100000,100000,125000,125000,225000,225000,65000,65000
Ruvuma,Songea,47000,50000,270000,310000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,82000,80000
Shinyanga,Shinyanga,60000,60000,130000,160000,150000,150000,80000,80000,180000,180000,250000,250000,230000,280000,110000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Pwani,90000,100000,190000,260000,170000,170000,160000,160000,200000,200000,200000,200000,300000,320000,200000,200000
Simiyu,Bariadi TC,60000,60000,170000,180000,80000,100000,180000,200000,180000,200000,230000,250000,270000,270000,150000,150000
Kigoma,Kigoma,50000,50000,150000,170000,100000,100000,NA,NA,100000,100000,170000,170000,250000,250000,100000,110000
Rukwa,Sumbawanga,60000,70000,180000,240000,NA,NA,NA,NA,120000,150000,95000,100000,100000,190000,50000,75000
,BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS/KILO 100) 29 APRILI, 2024,,,,,,,,,,,,,,,,,,
