Region,District,Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price
Dar es saalam,Dar es saalam,Ilala,64000,74000,200000,310000,NA,NA,NA,NA,NA,NA,280000,310000,80000,85000
Dar es saalam,Dar es saalam,Temeke,52000,54000,220000,300000,130000,140000,120000,130000,170000,180000,290000,320000,100000,100000
Dar es saalam,Tandale,NA,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,100000,100000,170000,170000,100000,100000,100000,100000,170000,170000,160000,160000,280000,280000,70000,75000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,200000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Kilombero,60000,70000,260000,300000,70000,75000,85000,90000,108000,110000,95000,100000,200000,240000,80000,85000
Dodoma,Majengo,48000,55000,260000,280000,60000,65000,50000,55000,130000,200000,NA,NA,270000,280000,80000,85000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,280000,290000,79000,81600
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi mjin,90000,100000,180000,350000,200000,280000,280000,300000,180000,200000,350000,400000,280000,290000,85000,90000
Iringa,Iringa,50000,55000,170000,200000,130000,150000,150000,180000,130000,150000,170000,200000,200000,250000,60000,75000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,120000,120000,170000,170000,120000,120000,200000,200000,200000,200000,200000,200000,250000,250000,110000,110000
Songwe,Songwe,33300,55500,190000,230000,150000,150000,NA,NA,150000,150000,NA,NA,150000,150000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Nyankumbu,60000,60000,165000,165000,145000,145000,190000,190000,170000,170000,NA,NA,180000,180000,130000,130000
Kagera,Bukoba,50000,55000,150000,320000,160000,170000,170000,180000,150000,170000,200000,220000,250000,250000,65000,85000
Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
Manyara,BabatiTC,42000,60000,220000,300000,80000,90000,80000,90000,90000,110000,130000,210000,225000,90000
Mbeya,Igawilo/soweto,60000,60000,225000,225000,125000,125000,125000,125000,120000,120000,125000,225000,70000
Ruvuma,Songea,47000,50000,270000,310000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,82000
Shinyanga,Shinyanga,60000,60000,130000,160000,150000,80000,180000,NA,180000,230000,250000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,150000,140000,250000,170000,230000,100000
Pwani,Pwani,90000,100000,190000,260000,170000,170000,160000,160000,200000,200000,200000,200000,300000,320000,200000,200000
Simiyu,Bariadi TC,60000,60000,170000,180000,80000,180000,180000,180000,230000,270000,150000
Kigoma,Kigoma,47200,50000,150000,200000,100000,NA,100000,200000,250000,280000,150000
Rukwa,Sumbawanga,60000,70000,180000,240000,NA,NA,NA,NA,120000,150000,95000,100000,100000,190000,50000,75000
