Region,District/Market,Maize Min Price,Maize Max Price,Finger Millet Min Price,Finger Millet Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,64000,74000,200000,310000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,85000,80000
Dar es saalam,Temeke,52000,54000,220000,300000,130000,140000,120000,130000,170000,180000,170000,180000,290000,320000,120000,115000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,100000,100000,200000,300000,100000,100000,100000,100000,170000,170000,150000,150000,320000,380000,85000,80000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,250000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Kilombero,65000,70000,260000,300000,70000,75000,85000,90000,114000,115000,95000,100000,200000,270000,85000,80000
Dodoma,Majengo,40000,45000,250000,280000,50000,55000,50000,55000,140000,160000,NA,NA,250000,270000,85000,80000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,340000,350000,81100,86700
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,85000,75000
Lindi,Lindi mjini,80000,90000,180000,350000,200000,280000,280000,300000,180000,200000,350000,400000,280000,320000,85000,90000
Iringa,Iringa,50000,55000,170000,250000,130000,150000,150000,180000,130000,150000,180000,200000,200000,250000,75000,80000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,100000,100000,180000,180000,120000,120000,200000,200000,200000,200000,NA,NA,230000,230000,110000,110000
Songwe,Songwe,36100,55000,175000,210000,150000,150000,NA,NA,150000,150000,200000,200000,160000,160000,100000,100000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Nyankumbu,55000,55000,140000,140000,140000,140000,160000,160000,170000,170000,NA,NA,240000,240000,110000,110000
Kagera,Bukoba,50000,55000,150000,320000,160000,170000,170000,180000,150000,160000,180000,200000,180000,220000,65000,85000
Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
Manyara,BabatiTC,45000,60000,200000,300000,120000,170000,120000,180000,120000,170000,130000,190000,240000,270000,95000,95000
Mbeya,Igawilo/soweto,60000,60000,222000,222000,125000,125000,125000,125000,120000,120000,125000,125000,225000,225000,70000,70000
Ruvuma,Songea,35000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,300000,320000,80000,82000
Shinyanga,Shinyanga,50000,55000,130000,170000,120000,120000,70000,80000,180000,180000,250000,250000,280000,300000,110000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Pwani,90000,100000,190000,250000,160000,160000,160000,160000,200000,200000,200000,200000,300000,320000,200000,180000
Simiyu,Bariadi TC,60000,60000,150000,160000,100000,100000,180000,200000,180000,200000,230000,250000,290000,380000,150000,150000
Kigoma,Kigoma,44400,44400,140000,200000,100000,100000,NA,NA,100000,130000,160000,170000,270000,280000,120000,120000
Rukwa,Sumbawanga,50000,60000,160000,240000,NA,NA,NA,NA,100000,140000,95000,100000,180000,200000,50000,75000
,BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS/KILO 100) 15 MEI, 2024,,,,,,,,,,,,,,,,,,
