Region,District/Market,Maize Min Price,Maize Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
Dar es saalam,Temeke,52000,54000,100000,100000,NA,NA,220000,280000,210000,300000,300000,280000,130000,140000,110000,110000
Dar es saalam,Tandale,100000,100000,170000,300000,100000,120000,100000,100000,180000,180000,150000,150000,320000,360000,80000,85000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,250000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Kilombero,68000,70000,260000,300000,70000,75000,85000,90000,114000,115000,95000,100000,200000,270000,80000,85000
Dodoma,Majengo,40000,45000,200000,260000,50000,55000,50000,55000,120000,140000,NA,NA,290000,330000,94000,85000
Morogoro,Morogoro,46875,57843,280000,280000,120000,130000,120000,135000,140000,150000,180000,200000,340000,350000,78200,81100
Mtwara,Mtwara Dc,75000,80000,300000,160000,300000,350000,200000,200000,200000,280000,75000,280000,75000,300000,200000,180000
Lindi,Lindi mjin,75000,90000,300000,320000,200000,200000,75000,350000,75000,400000,320000,280000,320000,320000,75000,85000
Iringa,Iringa,50000,55000,170000,240000,130000,150000,150000,180000,130000,150000,170000,200000,200000,250000,80000,75000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,100000,100000,180000,180000,180000,180000,200000,200000,200000,200000,NA,NA,230000,230000,140000,140000
Songwe,Songwe,38800,50000,175000,190000,150000,150000,NA,NA,150000,150000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,100000,90000
Geita,Nyankumbu,60000,60000,140000,140000,160000,160000,170000,170000,170000,170000,180000,180000,300000,300000,120000,120000
Kagera,Bukoba,50000,55000,150000,320000,160000,170000,170000,180000,150000,160000,180000,200000,220000,65000,85000
Katavi,Majengo,35000,45000,240000,200000,240000,300000,200000,120000,200000,170000,NA,120000,NA,180000,200000,120000
Manyara,BabatiTC,35000,60000,200000,240000,120000,170000,NA,130000,NA,190000,240000,240000,240000,270000,150000,150000
Mbeya,Igawilo/soweto,55000,55000,220000,220000,125000,125000,125000,125000,120000,120000,125000,125000,223000,223000,70000,70000
Ruvuma,Songea,35000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,300000,320000,80000,82000
Shinyanga,Shinyanga,50000,55000,130000,170000,120000,120000,70000,80000,180000,180000,250000,250000,280000,300000,110000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Pwani,90000,60000,180000,150000,250000,150000,160000,100000,160000,100000,160000,180000,160000,200000,200000,180000
Simiyu,Bariadi TC,60000,100000,200000,230000,200000,250000,300000,290000,330000,380000,200000,200000,150000,150000
Kigoma,Kigoma,44400,50000,150000,250000,100000,100000,NA,NA,100000,100000,220000,250000,280000,280000,100000,100000
Rukwa,Sumbawanga,50000,60000,160000,240000,NA,NA,NA,NA,100000,140000,95000,100000,180000,200000,50000,75000
