Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
12 JUNI, 2024,Dar es saalam,Ilala,55000,53000,250000,170000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,85000,80000
12 JUNI, 2024,Dar es saalam,Tandika,50000,52000,280000,150000,140000,120000,130000,130000,170000,180000,170000,180000,320000,390000,95000,100000
12 JUNI, 2024,Dar es saalam,Temeke,54000,52000,220000,300000,130000,140000,120000,130000,170000,180000,180000,170000,290000,320000,115000,120000
12 JUNI, 2024,Dar es saalam,Tandale,100000,100000,300000,280000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
12 JUNI, 2024,Dar es saalam,Ubungo,NA,NA,280000,210000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
12 JUNI, 2024,Dar es saalam,Mwananyamal,100000,100000,300000,170000,100000,100000,100000,110000,180000,180000,150000,150000,320000,360000,90000,85000
12 JUNI, 2024,Kilimanjaro,Moshi,60000,60000,200000,200000,150000,150000,NA,NA,200000,200000,200000,200000,200000,250000,90000,90000
12 JUNI, 2024,Singida,Namfua,60000,70000,180000,350000,120000,80000,120000,80000,95000,120000,180000,300000,200000,300000,95000,80000
12 JUNI, 2024,Arusha,Kilombero,60000,55000,180000,250000,90000,70000,85000,75000,120000,118000,100000,95000,170000,300000,90000,100000
12 JUNI, 2024,Dodoma,Majengo,45000,48000,140000,260000,50000,48000,50000,40000,140000,150000,NA,NA,270000,310000,95000,82000
12 JUNI, 2024,Morogoro,Morogoro,60156,54800,260000,230000,130000,140000,120000,135000,140000,150000,200000,180000,290000,300000,90000,86700
12 JUNI, 2024,Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
12 JUNI, 2024,Lindi,Lindi mjin,90000,85000,150000,330000,300000,200000,280000,280000,180000,200000,350000,400000,320000,340000,80000,85000
12 JUNI, 2024,Iringa,Iringa,50000,45000,160000,260000,130000,180000,150000,150000,150000,130000,200000,170000,200000,250000,65000,70000
12 JUNI, 2024,Mara,Musoma,54000,56000,190000,180000,180000,200000,180000,200000,200000,180000,253300,240000,250000,300000,130000,140000
12 JUNI, 2024,Tanga,Mgandini,100000,100000,180000,180000,120000,200000,120000,200000,200000,200000,200000,200000,250000,250000,120000,120000
12 JUNI, 2024,Songwe,Songwe,45000,41600,175000,165000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
12 JUNI, 2024,Tabora,Tabora,58000,60000,240000,160000,145000,150000,180000,190000,190000,185000,NA,NA,240000,260000,90000,100000
12 JUNI, 2024,Geita,Nyankumbu,65000,65000,140000,140000,170000,170000,170000,170000,170000,170000,190000,190000,330000,330000,120000,120000
12 JUNI, 2024,Kagera,Bukoba,55000,52000,140000,300000,150000,160000,150000,160000,140000,160000,200000,180000,140000,240000,75000,90000
12 JUNI, 2024,Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
12 JUNI, 2024,Manyara,BabatiTC,72000,45000,160000,280000,130000,120000,180000,180000,180000,140000,150000,190000,210000,240000,100000,110000
12 JUNI, 2024,Mbeya,Igawilo/Soweto,55000,55000,221000,221000,125000,125000,123000,123000,120000,120000,125000,125000,221000,221000,70000,70000
12 JUNI, 2024,Ruvuma,Songea,50000,35000,250000,290000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,76000,82000
12 JUNI, 2024,Shinyanga,Shinyanga,60000,55000,150000,120000,150000,140000,100000,100000,200000,200000,270000,270000,235000,280000,110000,110000
12 JUNI, 2024,Mwanza,Mwanza,70000,75000,220000,250000,120000,150000,120000,160000,170000,140000,NA,NA,230000,250000,100000,100000
12 JUNI, 2024,Pwani,Mnalani,80000,80000,240000,160000,160000,160000,150000,150000,200000,200000,240000,240000,300000,320000,180000,180000
12 JUNI, 2024,Simiyu,Bariadi TC,54000,54000,150000,150000,130000,150000,160000,180000,120000,130000,160000,170000,230000,270000,150000,150000
12 JUNI, 2024,Kigoma,Kigoma,50000,50000,130000,130000,150000,130000,120000,130000,130000,120000,150000,130000,220000,220000,120000,120000
12 JUNI, 2024,Rukwa,Sumbawanga,60000,48000,150000,200000,NA,NA,NA,NA,90000,120000,70000,75000,170000,210000,60000,75000
