Region,District,Min Price Maize,Max Price Maize,Min Price Finger Millet,Max Price Finger Millet,Min Price Rice,Max Price Rice,Min Price Sorghum,Max Price Sorghum,Min Price Bulrush Millet,Max Price Bulrush Millet,Min Price Wheat Grain,Max Price Wheat Grain,Min Price Beans,Max Price Beans,Min Price Irish Potatoes,Max Price Irish Potatoes
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,85000,80000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,52000,54000,220000,300000,130000,140000,120000,130000,170000,180000,170000,180000,290000,320000,120000,115000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,100000,100000,170000,300000,100000,100000,100000,110000,180000,180000,150000,150000,320000,360000,90000,95000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,250000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Kilombero,55000,60000,180000,250000,70000,75000,85000,90000,115000,120000,95000,100000,190000,280000,90000,100000
Dodoma,Majengo,45000,48000,140000,260000,48000,50000,40000,50000,140000,150000,NA,NA,270000,310000,95000,82000
Morogoro,Morogoro,62500,62500,280000,280000,150000,160000,120000,135000,170000,180000,180000,200000,250000,250000,86000,84400
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,85000,75000
Lindi,Lindi mjini,85000,90000,150000,160000,200000,280000,180000,180000,200000,350000,180000,300000,90000,90000,65000,70000
Iringa,Iringa,45000,50000,300000,260000,130000,150000,130000,150000,150000,170000,200000,400000,300000,300000,180000,200000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,100000,100000,180000,180000,120000,120000,200000,200000,200000,200000,200000,200000,250000,250000,120000,120000
Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Nyankumbu,65000,65000,140000,140000,170000,170000,170000,170000,170000,170000,190000,190000,330000,330000,120000,120000
Kagera,Bukoba,53000,55000,140000,300000,150000,160000,150000,160000,140000,160000,180000,200000,140000,240000,80000,90000
Katavi,Majengo,35000,35000,240000,240000,200000,200000,NA,NA,200000,200000,NA,NA,240000,240000,150000,150000
Manyara,BabatiTC,45000,72000,160000,280000,120000,130000,140000,150000,150000,150000,210000,240000,100000,110000,100000,100000
Mbeya,Igawilo/Soweto,35000,40000,160000,170000,200000,200000,180000,200000,190000,160000,250000,250000,100000,100000,100000,100000
Ruvuma,Songea,38000,43000,250000,290000,NA,NA,NA,NA,80000,140000,NA,NA,280000,300000,82000,76000
Shinyanga,Shinyanga,55000,60000,120000,150000,140000,150000,100000,100000,200000,200000,270000,270000,235000,280000,110000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Mnalani,70000,80000,150000,240000,150000,150000,150000,150000,200000,200000,240000,240000,320000,330000,180000,180000
Simiyu,Bariadi TC,54000,54000,130000,130000,130000,130000,160000,160000,170000,150000,230000,230000,270000,280000,150000,150000
Kigoma,Kigoma,50000,50000,150000,150000,150000,130000,120000,120000,150000,130000,220000,220000,220000,220000,120000,120000
Rukwa,Sumbawanga,48000,60000,150000,200000,NA,NA,NA,NA,90000,120000,70000,75000,170000,210000,60000,75000
