Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Finger Millet Min Price,Finger Millet Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,52000,54000,220000,280000,130000,140000,120000,130000,170000,180000,170000,180000,290000,320000,115000,120000
Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,70000,80000,170000,300000,80000,90000,70000,80000,80000,90000,125000,135000,280000,310000,75000,80000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,NA,150000,150000,200000,200000,200000,200000,200000,250000,90000,90000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Arusha,Kilombero,55000,60000,180000,250000,70000,75000,85000,90000,120000,130000,95000,100000,180000,270000,90000,95000
Dodoma,Majengo,50000,60000,140000,260000,48000,50000,50000,62000,135000,150000,NA,NA,295000,320000,82000,95000
Morogoro,Morogoro,62500,62500,250000,260000,150000,160000,120000,135000,170000,180000,180000,200000,250000,250000,84500,86100
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
Lindi,Lindi mjini,80000,90000,150000,300000,200000,280000,280000,300000,180000,200000,350000,400000,280000,300000,90000,90000
Iringa,Iringa,45000,50000,150000,240000,130000,150000,150000,160000,130000,160000,150000,170000,240000,270000,60000,75000
Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
Tanga,Mgandini,100000,100000,180000,180000,120000,120000,200000,200000,200000,200000,200000,200000,250000,250000,120000,120000
Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,58000,60000,160000,240000,145000,150000,180000,190000,185000,190000,NA,NA,240000,260000,90000,100000
Geita,Nyankumbu,65000,65000,120000,120000,170000,170000,220000,220000,220000,220000,210000,210000,310000,310000,120000,120000
Kagera,Bukoba,55000,56000,120000,280000,150000,160000,150000,160000,140000,150000,180000,200000,120000,210000,85000,95000
Katavi,Majengo,50000,50000,200000,200000,200000,200000,NA,NA,200000,200000,NA,NA,200000,200000,150000,150000
Manyara,BabatiTC,50000,60000,150000,280000,120000,180000,130000,180000,140000,180000,150000,190000,180000,240000,95000,105000
Mbeya,Igawilo/Soweto,55000,55000,221000,221000,150000,150000,175000,175000,140000,140000,165000,165000,221000,221000,70000,70000
Ruvuma,Songea,40000,45000,250000,300000,NA,NA,NA,NA,60000,100000,NA,NA,270000,280000,74000,80000
Shinyanga,Shinyanga,60000,60000,136000,160000,150000,150000,90000,90000,200000,200000,200000,200000,240000,280000,110000,110000
Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
Pwani,Mnalani,70000,70000,150000,240000,150000,150000,150000,150000,170000,170000,240000,240000,300000,330000,180000,180000
Simiyu,Bariadi TC,66000,66000,140000,150000,130000,150000,160000,180000,160000,170000,230000,230000,270000,280000,150000,150000
Kigoma,Kigoma,55000,60000,130000,150000,150000,200000,150000,200000,170000,200000,150000,200000,210000,250000,100000,110000
Rukwa,Sumbawanga,45000,60000,150000,200000,NA,NA,NA,NA,75000,120000,70000,75000,160000,210000,60000,75000
