Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
05 AUGUST, 2024,Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
05 AUGUST, 2024,Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
05 AUGUST, 2024,Dar es saalam,Temeke,52000,54000,220000,280000,130000,140000,120000,130000,170000,180000,170000,180000,290000,320000,115000,120000
05 AUGUST, 2024,Dar es saalam,Tandale,100000,100000,280000,300000,110000,110000,100000,100000,170000,170000,150000,150000,280000,300000,90000,90000
05 AUGUST, 2024,Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
05 AUGUST, 2024,Dar es saalam,Mwananyamala,90000,90000,150000,320000,80000,90000,90000,100000,180000,180000,140000,140000,260000,360000,75000,78000
05 AUGUST, 2024,Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
05 AUGUST, 2024,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
05 AUGUST, 2024,Arusha,Kilombero,63000,65000,180000,250000,70000,75000,80000,85000,130000,135000,95000,100000,160000,240000,110000,110000
05 AUGUST, 2024,Dodoma,Majengo,50000,55000,140000,190000,52000,60000,45000,50000,160000,190000,NA,NA,290000,330000,80000,95000
05 AUGUST, 2024,Morogoro,Morogoro,62500,62500,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,310000,320000,78947,83330
05 AUGUST, 2024,Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,75000,200000,200000,75000,75000,320000,320000,75000,85000
05 AUGUST, 2024,Lindi,Lindi mjini,80000,90000,150000,300000,200000,280000,280000,300000,180000,200000,350000,400000,280000,300000,90000,90000
05 AUGUST, 2024,Iringa,Iringa,45000,50000,140000,240000,120000,150000,150000,150000,140000,150000,170000,180000,200000,280000,75000,80000
05 AUGUST, 2024,Mara,Musoma,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,140000
05 AUGUST, 2024,Tanga,Mgandini,100000,100000,170000,170000,120000,120000,200000,200000,200000,200000,200000,200000,230000,230000,100000,100000
05 AUGUST, 2024,Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
05 AUGUST, 2024,Tabora,Tabora,60000,61000,120000,140000,170000,180000,180000,190000,180000,185000,NA,NA,260000,280000,90000,95000
05 AUGUST, 2024,Geita,Nyankumbu,65000,65000,120000,120000,170000,170000,220000,220000,220000,220000,210000,210000,310000,310000,120000,120000
05 AUGUST, 2024,Kagera,Bukoba,55000,58000,120000,280000,150000,160000,150000,160000,140000,150000,180000,200000,160000,220000,80000,95000
05 AUGUST, 2024,Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
05 AUGUST, 2024,Manyara,BabatiTC,50000,66000,150000,280000,110000,120000,110000,120000,140000,150000,130000,140000,180000,240000,95000,105000
05 AUGUST, 2024,Mbeya,Igawilo/Soweto,46000,46000,220000,220000,125000,125000,250000,250000,120000,120000,225000,225000,223000,223000,70000,70000
05 AUGUST, 2024,Ruvuma,Songea,40000,50000,260000,300000,NA,NA,NA,NA,60000,100000,NA,NA,270000,300000,75000,80000
05 AUGUST, 2024,Shinyanga,Shinyanga,60000,60000,150000,150000,150000,150000,100000,100000,200000,200000,250000,250000,240000,240000,110000,110000
05 AUGUST, 2024,Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,100000
05 AUGUST, 2024,Pwani,Mnalani,100000,100000,150000,250000,150000,150000,160000,160000,180000,180000,200000,200000,280000,290000,150000,150000
05 AUGUST, 2024,Simiyu,Bariadi TC,69000,69000,140000,150000,130000,150000,170000,180000,170000,180000,250000,250000,270000,280000,150000,150000
05 AUGUST, 2024,Kigoma,Kigoma,55000,60000,130000,150000,150000,200000,150000,200000,170000,200000,170000,200000,210000,220000,100000,110000
05 AUGUST, 2024,Rukwa,Sumbawanga,50000,60000,140000,200000,NA,NA,NA,NA,75000,120000,70000,75000,175000,270000,55000,75000
