Region / Mkoa,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,85000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,58000,78000,150000,280000,210000,210000,130000,130000,170000,170000,180000,180000,270000,280000,90000,90000
Dar es saalam,Tandale,100000,100000,280000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,260000,65000,80000
Dar es saalam,Ubungo,NA,NA,150000,250000,90000,90000,90000,90000,150000,150000,140000,140000,300000,310000,76000,150000
Dar es saalam,Mwananyamala,90000,90000,260000,260000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,150000,NA
Kilimanjaro,Moshi,100000,100000,300000,300000,NA,NA,NA,NA,NA,NA,NA,NA,270000,360000,95000,90000
Singida,Namfua,67000,107000,280000,340000,130000,180000,130000,130000,100000,100000,NA,NA,360000,360000,120000,65000
Arusha,Kilombero,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,76000
Dodoma,Majengo,63000,65000,180000,250000,70000,75000,80000,85000,130000,135000,95000,100000,160000,230000,100000,150000
Morogoro,Morogoro,50000,55000,140000,190000,52000,60000,45000,50000,160000,190000,NA,NA,290000,330000,80000,95000
Mtwara,Mtwara Dc,58650,58750,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,77500,NA
Lindi,Lindi mjini,75000,85000,300000,300000,200000,200000,200000,200000,75000,75000,200000,200000,250000,250000,85000,80000
Iringa,Iringa,65000,75000,145000,280000,75000,280000,75000,280000,75000,75000,400000,400000,320000,320000,75000,125000
Mara,Musoma,46000,47000,130000,200000,130000,150000,130000,150000,140000,180000,150000,170000,230000,270000,70000,63000
Tanga,Mgandini,54000,56000,180000,190000,180000,200000,180000,200000,180000,200000,240000,253300,250000,300000,130000,65000
Songwe,Songwe,100000,100000,160000,160000,120000,120000,200000,200000,200000,200000,200000,200000,240000,240000,110000,70000
Tabora,Tabora,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,100000
Geita,Nyankumbu,61000,62000,120000,150000,170000,180000,180000,190000,180000,180000,NA,NA,260000,270000,90000,NA
Kagera,Bukoba,65000,65000,160000,160000,170000,170000,225000,225000,220000,220000,220000,220000,330000,330000,125000,90000
Katavi,Majengo,65000,70000,130000,300000,150000,160000,150000,160000,140000,160000,180000,190000,180000,240000,80000,NA
Manyara,BabatiTC,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,NA
Mbeya,Igawilo/Soweto,55000,66000,170000,280000,120000,130000,120000,130000,120000,130000,150000,160000,160000,210000,115000,NA
Ruvuma,Songea,50000,50000,155000,160000,200000,200000,150000,150000,180000,180000,140000,140000,220000,220000,100000,NA
Shinyanga,Shinyanga,35000,70000,250000,280000,NA,NA,NA,NA,60000,80000,NA,NA,270000,300000,72000,NA
Mwanza,Mwanza,65000,70000,130000,155000,150000,150000,100000,100000,200000,200000,230000,250000,230000,250000,100000,NA
Pwani,Mnalani,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,NA
Simiyu,Bariadi TC,100000,100000,150000,240000,150000,150000,160000,160000,200000,200000,200000,200000,280000,290000,150000,NA
Kigoma,Kigoma,72000,72000,140000,150000,130000,150000,170000,180000,170000,180000,250000,250000,270000,280000,150000,NA
Rukwa,Sumbawanga,55000,66000,130000,150000,120000,150000,150000,150000,150000,150000,150000,150000,250000,250000,80000,NA
Rukwa,,48000,55000,100000,160000,NA,NA,NA,NA,75000,120000,65000,70000,175000,290000,60000,75000
,Date,21ST AUGUST,2024
