Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2024-08-26,Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,100000
2024-08-26,Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,110000
2024-08-26,Dar es saalam,Temeke,58000,67000,150000,280000,130000,110000,130000,110000,130000,100000,130000,100000,270000,280000,107000,90000
2024-08-26,Dar es saalam,Tandale,100000,100000,280000,300000,110000,130000,110000,130000,100000,130000,100000,100000,310000,300000,80000,NA
2024-08-26,Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,78000
2024-08-26,Dar es saalam,Mwananyamala,90000,90000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,76000,150000
2024-08-26,Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,95000
2024-08-26,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,125000
2024-08-26,Arusha,Kilombero,63000,65000,180000,250000,70000,75000,80000,85000,130000,135000,95000,100000,160000,230000,100000,90000
2024-08-26,Dodoma,Majengo,50000,55000,140000,230000,53000,60000,45000,50000,160000,190000,NA,NA,260000,300000,80000,77700
2024-08-26,Morogoro,Morogoro,58650,58750,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,75555,100000
2024-08-26,Mtwara,Mtwara Dc,60000,60000,150000,280000,220000,220000,400000,400000,200000,200000,300000,300000,270000,270000,100000,90000
2024-08-26,Lindi,Lindi mjini,65000,70000,145000,280000,200000,300000,280000,280000,200000,250000,400000,400000,250000,270000,90000,75000
2024-08-26,Iringa,Iringa,46000,47000,130000,200000,130000,150000,130000,150000,140000,180000,150000,170000,230000,270000,70000,150000
2024-08-26,Mara,Musoma,63000,65000,140000,150000,150000,180000,180000,180000,150000,180000,230000,230000,200000,280000,130000,110000
2024-08-26,Tanga,Mgandini,100000,100000,160000,160000,120000,120000,200000,200000,200000,200000,200000,200000,240000,240000,110000,150000
2024-08-26,Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,95000
2024-08-26,Tabora,Tabora,60000,60000,120000,150000,170000,180000,180000,190000,180000,190000,NA,NA,280000,290000,90000,125000
2024-08-26,Geita,Nyankumbu,65000,65000,160000,160000,170000,170000,225000,225000,220000,220000,220000,220000,330000,330000,125000,95000
2024-08-26,Kagera,Bukoba,65000,75000,140000,300000,120000,140000,130000,150000,170000,180000,180000,190000,180000,240000,80000,150000
2024-08-26,Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,115000
2024-08-26,Manyara,BabatiTC,55000,66000,170000,280000,120000,130000,120000,130000,120000,130000,150000,160000,160000,210000,115000,100000
2024-08-26,Mbeya,Igawilo/Soweto,50000,50000,155000,160000,200000,200000,150000,150000,180000,180000,140000,140000,220000,220000,100000,80000
2024-08-26,Ruvuma,Songea,38000,70000,210000,280000,50000,55000,NA,NA,60000,80000,NA,NA,230000,280000,72000,100000
2024-08-26,Shinyanga,Shinyanga,65000,70000,130000,155000,150000,150000,100000,100000,200000,200000,230000,250000,230000,250000,100000,100000
2024-08-26,Mwanza,Mwanza,70000,75000,220000,250000,120000,160000,120000,150000,140000,170000,NA,NA,230000,250000,100000,160000
2024-08-26,Pwani,Mnalani,100000,100000,150000,240000,150000,150000,160000,160000,200000,200000,200000,200000,280000,300000,160000,150000
2024-08-26,Simiyu,Bariadi TC,70000,70000,140000,150000,130000,150000,170000,180000,170000,180000,250000,250000,270000,280000,150000,80000
2024-08-26,Kigoma,Kigoma,72200,77800,150000,160000,200000,200000,200000,200000,200000,200000,170000,170000,250000,250000,80000,75000
2024-08-26,Rukwa,Sumbawanga,40000,55000,100000,160000,NA,NA,NA,NA,75000,120000,65000,70000,175000,290000,60000,NA
