Region,District,Sorghum (Mtama) Min Price,Sorghum (Mtama) Max Price,Maize (Mahindi) Min Price,Maize (Mahindi) Max Price,Rice (Mchele) Min Price,Rice (Mchele) Max Price,Bulrush Millet (Uwele) Min Price,Bulrush Millet (Uwele) Max Price,Finger Millet (Ulezi) Min Price,Finger Millet (Ulezi) Max Price,Wheat Grain (Ngano) Min Price,Wheat Grain (Ngano) Max Price,Beans (Maharage) Min Price,Beans (Maharage) Max Price,Irish Potatoes (Viazi) Min Price,Irish Potatoes (Viazi) Max Price
Dar es saalam,Ilala,53000,55000,170000,230000,NA,NA,NA,NA,180000,180000,NA,NA,300000,300000,70000,73000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,58000,60000,160000,280000,130000,140000,130000,140000,180000,190000,160000,180000,260000,330000,110000,110000
Dar es saalam,Tandale,100000,100000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,90000,90000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,78000,76000
Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Kilombero,60000,63000,180000,250000,80000,90000,80000,85000,130000,135000,95000,98000,160000,240000,110000,115000
Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,75000,70000
Morogoro,Morogoro,53125,53125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,72200,75600
Mtwara,"Mtwara Dc",57000,57000,160000,280000,200000,200000,400000,400000,400000,400000,300000,300000,260000,260000,100000,100000
Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,200000,250000,400000,400000,250000,280000,90000,90000
Iringa,Iringa,48000,46000,140000,240000,130000,150000,130000,150000,150000,180000,150000,170000,180000,230000,70000,80000
Mara,Musoma,63000,65000,145000,155000,150000,180000,180000,180000,150000,180000,230000,230000,200000,280000,130000,150000
Tanga,Mgandini,100000,100000,160000,160000,120000,120000,200000,200000,200000,200000,200000,200000,240000,240000,110000,110000
Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,60000,60000,120000,140000,170000,180000,180000,190000,180000,190000,NA,NA,280000,290000,90000,95000
Geita,Nyankumbu,80000,80000,170000,170000,170000,170000,225000,225000,220000,220000,225000,225000,330000,330000,115000,115000
Kagera,Bukoba,70000,75000,140000,300000,130000,140000,140000,160000,170000,180000,180000,190000,200000,250000,100000,85000
Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
Manyara,BabatiTC,60000,72000,150000,280000,100000,120000,100000,120000,100000,130000,170000,210000,120000,120000
Mbeya,"Igawilo/Soweto",50000,50000,155000,160000,200000,200000,150000,150000,180000,140000,220000,220000,100000,100000
Ruvuma,Songea,38000,70000,200000,280000,50000,55000,NA,NA,60000,80000,NA,NA,220000,260000,72000,80000
Shinyanga,Shinyanga,70000,70000,125000,155000,150000,150000,100000,100000,200000,200000,240000,240000,230000,250000,95000,95000
Mwanza,Mwanza,70000,73000,150000,250000,120000,160000,110000,150000,140000,170000,NA,NA,270000,300000,100000,100000
Pwani,Mnalani,100000,100000,160000,220000,150000,150000,190000,200000,200000,200000,200000,200000,280000,300000,150000,150000
Simiyu,Bariadi TC,69000,69000,140000,150000,130000,150000,170000,170000,200000,250000,270000,280000,150000,150000,100000,150000
Kigoma,Kigoma,60000,60000,150000,160000,150000,150000,180000,220000,170000,180000,250000,170000,200000,170000,80000,150000
Rukwa,Sumbawanga,55000,60000,140000,160000,NA,NA,NA,NA,75000,120000,70000,75000,180000,270000,55000,75000
