Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,66000,67000,170000,280000,NA,NA,NA,NA,180000,180000,NA,NA,300000,320000,73000,75000
es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,60000,80000,160000,280000,130000,140000,130000,140000,180000,190000,160000,180000,260000,320000,110000,115000
es saalam,Tandale,100000,100000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,85000,85000
es saalam,Mwananyamala,90000,90000,150000,320000,100000,100000,90000,90000,200000,200000,140000,140000,300000,340000,75000,80000
Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Kilombero,60000,64000,240000,300000,90000,100000,80000,85000,145000,150000,100000,110000,220000,260000,110000,100000
Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,70000,75000
Morogoro,Morogoro,53125,53125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,78000,75600
Mtwara,Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,180000,200000,350000,400000,250000,280000,90000,90000
Iringa,Iringa,48000,49000,150000,250000,100000,120000,130000,150000,160000,170000,160000,170000,220000,270000,80000,70000
Mara,Musoma,70000,70000,145000,150000,180000,180000,180000,180000,200000,200000,220000,220000,220000,300000,130000,150000
Tanga,Mgandini,100000,100000,160000,160000,120000,120000,200000,200000,200000,200000,200000,200000,240000,240000,110000,110000
Songwe,Songwe,50000,57000,170000,200000,150000,150000,200000,200000,150000,150000,200000,200000,200000,200000,150000,150000
Tabora,Tabora,60000,61000,130000,150000,170000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,95000
Geita,Nyankumbu,80000,80000,180000,180000,170000,170000,225000,225000,220000,220000,225000,225000,360000,360000,120000,120000
Kagera,Bukoba,70000,75000,140000,300000,130000,140000,160000,170000,170000,180000,180000,200000,200000,250000,100000,85000
Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
Manyara,BabatiTC,60000,72000,160000,300000,100000,120000,100000,120000,110000,130000,130000,150000,180000,210000,115000,100000
Mbeya,Igawilo/Soweto,55000,55000,160000,180000,200000,200000,150000,150000,180000,180000,140000,140000,250000,250000,115000,100000
Ruvuma,Songea,48000,70000,200000,290000,50000,55000,NA,NA,60000,80000,NA,NA,230000,260000,76000,80000
Shinyanga,Shinyanga,65000,70000,140000,170000,150000,150000,100000,100000,200000,200000,200000,200000,230000,280000,100000.00,100000
Mwanza,Mwanza,70000,73000,150000,250000,120000,160000,110000,150000,140000,170000,NA,NA,270000,300000,100000,100000
Pwani,Mnalani,90000,90000,160000,220000,150000,150000,180000,180000,200000,200000,200000,200000,280000,300000,150000,150000
Simiyu,Bariadi TC,66000,66700,140000,150000,130000,100000,170000,150000,170000,200000,250000,170000,270000,280000,150000,150000
Kigoma,Kigoma,66000,66700,150000,200000,100000,150000,150000,180000,200000,180000,200000,250000,150000,255000,100000,80000
Rukwa,Sumbawanga,60000,65000,160000,200000,NA,NA,NA,NA,75000,120000,70000,75000,195000,290000,55000,70000
,,,,,Irish Potatoes (Viazi,,,,,Dar,Dar,Dar,,,,,
,CHANZO: WIZARA YA VIWANDA NA BIASHARA,,,,,IDARA YA MAENDELEO YA BIASHARA,,,,,,,,,
,9 ОКТОВА, 2024,,,,,,,,,,,,,,,,
