Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2024-10-21,Dar es saalam,Ilala,66000,67000,170000,280000,NA,NA,NA,NA,180000,180000,NA,NA,300000,320000,73000,75000
2024-10-21,Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
2024-10-21,Dar es saalam,Dar es saalam,90000,150000,85000,100000,160000,180000,210000,130000,90000,NA,90000,NA,140000,90000,NA,90000
2024-10-21,Dar es saalam,Temeke,75000,80000,100000,NA,90000,100000,NA,90000,100000,170000,NA,200000,260000,110000,90000
2024-10-21,Dar es saalam,Tandale,60000,90000,100000,NA,90000,100000,NA,90000,100000,180000,NA,200000,300000,90000,85000
2024-10-21,Dar es saalam,Ubungo,100000,120000,160000,250000,NA,NA,NA,NA,NA,NA,NA,NA,240000,75000
2024-10-21,Dar es saalam,Mwananyamala,NA,140000,180000,280000,280000,320000,200000,270000,300000,150000
2024-10-21,Kilimanjaro,Moshi,NA,90000,200000,280000,340000,360000,95000
2024-10-21,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,150000
2024-10-21,Arusha,Kilombero,64000,65000,250000,300000,90000,100000,90000,95000,145000,150000,100000,110000,200000,260000,100000,95000
2024-10-21,Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,70000,75000
2024-10-21,Morogoro,Morogoro,68750,70125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,78300,95000
2024-10-21,Mtwara,Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,95000
2024-10-21,Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,180000,200000,350000,400000,250000,280000,90000,95000
2024-10-21,Iringa,Iringa,48000,49000,150000,250000,100000,120000,130000,150000,160000,170000,160000,170000,220000,270000,80000,95000
2024-10-21,Mara,Musoma,70000,70000,145000,150000,180000,180000,180000,180000,200000,200000,220000,220000,220000,300000,130000,95000
2024-10-21,Tanga,Mgandini,100000,100000,200000,200000,120000,120000,200000,200000,200000,200000,200000,200000,260000,260000,150000,95000
2024-10-21,Songwe,Songwe,50000,52700,170000,200000,200000,200000,200000,200000,150000,150000,200000,200000,230000,230000,150000,95000
2024-10-21,Tabora,Tabora,60000,61000,130000,150000,170000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,95000
2024-10-21,Geita,Nyankumbu,80000,80000,180000,180000,170000,170000,210000,210000,180000,180000,200000,200000,360000,360000,100000,95000
2024-10-21,Kagera,Bukoba,70000,70000,140000,300000,130000,140000,160000,170000,170000,180000,180000,200000,200000,250000,85000,95000
2024-10-21,Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,95000
2024-10-21,Manyara,BabatiTC,65000,72000,160000,300000,100000,120000,100000,120000,140000,150000,130000,150000,210000,240000,95000,95000
2024-10-21,Mbeya,Igawilo/Soweto,55000,55000,160000,180000,200000,200000,150000,150000,180000,180000,140000,140000,250000,250000,100000,95000
2024-10-21,Ruvuma,Songea,48000,70000,200000,290000,50000,55000,NA,NA,60000,80000,NA,NA,230000,260000,76000,95000
2024-10-21,Shinyanga,Shinyanga,65000,70000,140000,170000,150000,150000,100000,100000,200000,200000,200000,200000,230000,280000,100000,95000
2024-10-21,Mwanza,Mwanza,70000,73000,150000,250000,120000,160000,110000,150000,140000,170000,NA,NA,270000,300000,100000,95000
2024-10-21,Pwani,Mnalani,90000,90000,160000,220000,150000,150000,180000,180000,200000,200000,200000,200000,280000,300000,150000,95000
2024-10-21,Simiyu,Bariadi TC,69000,69000,140000,150000,140000,150000,180000,200000,180000,200000,250000,250000,290000,300000,130000,95000
2024-10-21,Kigoma,Kigoma,66700,66700,150000,200000,100000,100000,150000,150000,200000,200000,170000,170000,150000,255000,80000,95000
2024-10-21,Rukwa,Sumbawanga,65000,70000,180000,220000,NA,NA,NA,NA,75000,120000,70000,75000,200000,290000,65000,95000
