Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2024-10-25,Dar es saalam,Ilala,66000,67000,170000,280000,NA,NA,NA,NA,180000,180000,NA,NA,300000,320000,73000,75000
2024-10-25,es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
2024-10-25,Dar es saalam,Temeke,60000,80000,160000,280000,130000,140000,130000,140000,180000,190000,160000,180000,260000,320000,110000,115000
2024-10-25,es saalam,Tandale,100000,100000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,90000,90000
2024-10-25,Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,85000,85000
2024-10-25,es saalam,Mwananyamala,90000,90000,160000,320000,90000,90000,90000,90000,200000,200000,140000,140000,280000,340000,75000,75000
2024-10-25,Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
2024-10-25,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
2024-10-25,Arusha,Kilombero,64000,65000,250000,300000,90000,100000,90000,95000,145000,150000,100000,110000,200000,260000,100000,110000
2024-10-25,Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,70000,75000
2024-10-25,Morogoro,Morogoro,68750,70125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,78300,78600
2024-10-25,Mtwara,Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
2024-10-25,Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,180000,180000,350000,400000,250000,280000,90000,90000
2024-10-25,Iringa,Iringa,50000,52000,150000,250000,100000,120000,130000,150000,200000,200000,160000,170000,220000,270000,70000,80000
2024-10-25,Mara,Musoma,70000,70000,145000,150000,180000,180000,180000,180000,200000,200000,220000,220000,220000,300000,130000,150000
2024-10-25,Tanga,Mgandini,120000,120000,150000,150000,100000,100000,200000,200000,200000,200000,200000,200000,260000,260000,150000,150000
2024-10-25,Songwe,Songwe,50000,55000,170000,200000,200000,200000,200000,200000,150000,150000,200000,200000,230000,230000,150000,150000
2024-10-25,Tabora,Tabora,60000,61000,130000,150000,170000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,95000
2024-10-25,Geita,Nyankumbu,80000,80000,180000,180000,170000,170000,210000,210000,180000,180000,210000,210000,360000,360000,115000,115000
2024-10-25,Kagera,Bukoba,70000,70000,140000,300000,130000,140000,160000,170000,170000,180000,180000,200000,200000,250000,85000,100000
2024-10-25,Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
2024-10-25,Manyara,BabatiTC,65000,72000,160000,300000,100000,120000,100000,120000,140000,150000,130000,150000,210000,240000,95000,120000
2024-10-25,Mbeya,Igawilo/Soweto,55000,55000,160000,180000,200000,200000,150000,150000,180000,180000,140000,140000,250000,250000,100000,100000
2024-10-25,Ruvuma,Songea,52000,70000,180000,300000,50000,50000,NA,NA,150000,150000,NA,NA,270000,300000,78000,80000
2024-10-25,Shinyanga,Shinyanga,65000,70000,140000,170000,150000,150000,100000,100000,200000,200000,200000,200000,230000,280000,100000,100000
2024-10-25,Mwanza,Mwanza,75000,80000,170000,240000,130000,160000,110000,140000,150000,180000,NA,NA,260000,280000,95000,100000
2024-10-25,Pwani,Mnalani,90000,90000,160000,220000,150000,150000,180000,180000,200000,200000,200000,200000,280000,300000,150000,150000
2024-10-25,Simiyu,Bariadi TC,69000,69000,140000,150000,140000,150000,180000,200000,180000,200000,250000,290000,150000,300000,150000,255000
2024-10-25,Kigoma,Kigoma,66700,66700,150000,200000,100000,100000,150000,200000,200000,200000,170000,170000,130000,150000,80000,100000
2024-10-25,Rukwa,Sumbawanga,65000,70000,180000,220000,NA,NA,NA,NA,75000,120000,70000,75000,200000,290000,65000,75000
