Region,District/Market,Sorghum Min Price,Sorghum Max Price,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,70000,80000,170000,250000,NA,NA,NA,NA,180000,190000,NA,NA,300000,320000,70000,73000
Dar es saalam,Tandika,50000,60000,150000,160000,130000,130000,120000,130000,170000,180000,320000,260000,95000,110000,NA,NA
Dar es saalam,Temeke,80000,100000,180000,280000,90000,140000,130000,140000,180000,170000,320000,300000,90000,100000,NA,NA
Dar es saalam,Tandale,52000,100000,280000,250000,90000,90000,90000,90000,190000,160000,390000,320000,115000,90000,NA,NA
Dar es saalam,Ubungo,NA,90000,NA,210000,NA,280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dar es saalam,Mwananyamala,90000,NA,150000,NA,80000,NA,80000,NA,200000,NA,140000,NA,240000,75000,NA,NA
Kilimanjaro,Moshi,75000,80000,340000,220000,90000,NA,90000,120000,140000,200000,270000,75000,310000,75000,200000,120000
Singida,Namfua,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
Arusha,Kilombero,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
Dodoma,Majengo,62000,63000,250000,300000,90000,100000,90000,95000,145000,150000,100000,110000,230000,265000,100000,110000
Morogoro,Morogoro,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,70000,75000
Mtwara,Mtwara Dc,68750,70125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,78300,78600
Lindi,Lindi mjini,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
Iringa,Iringa,70000,70000,160000,300000,200000,280000,280000,280000,180000,200000,350000,400000,250000,280000,90000,90000
Mara,Musoma,54000,56000,150000,250000,100000,120000,130000,150000,180000,200000,160000,170000,250000,270000,70000,80000
Tanga,Mgandini,70000,70000,145000,150000,180000,180000,180000,180000,200000,200000,220000,220000,220000,300000,130000,150000
Songwe,Songwe,120000,120000,150000,170000,100000,100000,200000,200000,200000,200000,200000,200000,200000,260000,150000,150000
Tabora,Tabora,50000,55000,150000,200000,200000,200000,200000,200000,200000,150000,200000,260000,230000,150000,150000,150000
Geita,Nyankumbu,60000,61000,130000,150000,170000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,95000
Kagera,Bukoba,80000,80000,180000,180000,170000,170000,210000,210000,180000,180000,210000,210000,360000,360000,115000,115000
Katavi,Majengo,85000,90000,160000,300000,140000,150000,150000,160000,200000,220000,180000,200000,180000,270000,85000,100000
Manyara,BabatiTC,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
Mbeya,Igawilo/Soweto,65000,72000,160000,300000,100000,120000,100000,120000,140000,150000,130000,150000,210000,240000,95000,120000
Ruvuma,Songea,55000,55000,160000,180000,200000,200000,150000,150000,180000,180000,140000,140000,250000,250000,100000,100000
Shinyanga,Shinyanga,53000,70000,200000,300000,50000,50000,NA,NA,150000,150000,NA,NA,280000,300000,76000,80000
Mwanza,Mwanza,70000,70000,160000,160000,150000,150000,100000,100000,220000,220000,220000,220000,270000,270000,90000,90000.00
Pwani,Mnalani,75000,80000,170000,240000,130000,160000,110000,140000,150000,180000,NA,NA,260000,280000,95000,100000
Simiyu,Bariadi TC,120000,120000,220000,220000,150000,150000,180000,180000,200000,200000,200000,200000,300000,330000,150000,150000
Kigoma,Kigoma,66000,66700,140000,150000,140000,100000,180000,200000,180000,200000,250000,290000,150000,300000,130000,80000
Rukwa,Sumbawanga,66000,66700,150000,200000,150000,100000,200000,150000,200000,150000,200000,300000,255000,150000,150000,100000
,Songwe,65000,70000,180000,220000,NA,NA,NA,NA,75000,120000,70000,75000,200000,290000,65000,75000
