Region,District,SorghumMinPrice,SorghumMaxPrice,MaizeMinPrice,MaizeMaxPrice,RiceMinPrice,RiceMaxPrice,BulrushMilletMinPrice,BulrushMilletMaxPrice,FingerMilletMinPrice,FingerMilletMaxPrice,WheatGrainMinPrice,WheatGrainMaxPrice,BeansMinPrice,BeansMaxPrice,IrishPotatoesMinPrice,IrishPotatoesMaxPrice
Dar es saalam,Ilala,70000,80000,170000,250000,NA,NA,NA,NA,180000,190000,NA,NA,300000,320000,70000,73000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,60000,80000,160000,280000,130000,140000,130000,140000,180000,190000,160000,180000,260000,320000,115000,110000
Dar es saalam,Tandale,100000,100000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,75000,80000
Dar es saalam,Mwananyamala,90000,90000,150000,320000,80000,90000,80000,90000,200000,220000,140000,140000,310000,340000,75000,75000
Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Kilombero,62000,63000,250000,300000,90000,100000,90000,95000,145000,150000,100000,110000,230000,265000,100000,110000
Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,75000,70000
Morogoro,Morogoro,64062,70312,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,75600,81100
Mtwara,Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,180000,200000,350000,400000,250000,280000,90000,90000
Iringa,Iringa,54000,56000,150000,250000,100000,120000,130000,150000,180000,200000,160000,170000,250000,270000,80000,70000
Mara,Musoma,70000,70000,145000,150000,180000,180000,180000,180000,200000,200000,220000,220000,220000,300000,130000,150000
Tanga,Mgandini,100000,100000,150000,210000,100000,100000,200000,200000,200000,200000,200000,200000,290000,290000,120000,120000
Songwe,Songwe,50000,55000,170000,200000,200000,200000,200000,200000,150000,150000,200000,200000,230000,230000,150000,150000
Tabora,Tabora,60000,61000,130000,150000,170000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,95000
Geita,Nyankumbu,80000,80000,180000,180000,170000,170000,210000,210000,180000,180000,210000,210000,360000,360000,115000,115000
Kagera,Bukoba,85000,90000,160000,300000,140000,150000,150000,160000,200000,220000,180000,200000,180000,270000,100000,85000
Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
Manyara,BabatiTC,66000,72000,170000,300000,100000,120000,100000,120000,140000,160000,130000,160000,210000,240000,95000,100000
Mbeya,Igawilo/Soweto,60000,60000,180000,230000,200000,200000,150000,150000,160000,160000,160000,160000,280000,280000,115000,100000
Ruvuma,Songea,53000,70000,200000,300000,50000,50000,NA,NA,150000,150000,NA,NA,280000,300000,76000,80000
Shinyanga,Shinyanga,70000,70000,160000,160000,100000,100000,100000,100000,220000,220000,220000,220000,270000,270000,100000,100000.00
Mwanza,Mwanza,75000,80000,170000,240000,130000,160000,110000,140000,150000,180000,NA,NA,260000,280000,95000,100000
Pwani,Mnalani,120000,120000,220000,220000,150000,160000,170000,170000,200000,200000,200000,200000,300000,350000,150000,150000
Simiyu,Bariadi TC,66000,66700,140000,150000,140000,100000,180000,200000,180000,200000,250000,250000,290000,300000,130000,150000
Kigoma,Kigoma,66000,66700,150000,200000,100000,150000,200000,150000,200000,200000,170000,170000,150000,255000,80000,100000
Rukwa,Sumbawanga,68000,70000,180000,220000,NA,NA,NA,NA,75000,120000,70000,80000,200000,290000,75000,70000
,,,BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) 04 NOVEMBA, 2024,,,,,,,,,,,,,,,
