Region,Rice (Mchele) Min Price,Rice (Mchele) Max Price,Sorghum (Mtama) Min Price,Sorghum (Mtama) Max Price,Finger Millet (Ulezi) Min Price,Finger Millet (Ulezi) Max Price,Maize (Mahindi) Min Price,Maize (Mahindi) Max Price,Irish Potatoes (Viazi Mviringo) Min Price,Irish Potatoes (Viazi Mviringo) Max Price,Beans (Maharage) Min Price,Beans (Maharage) Max Price,Bulrush Millet (Uwele) Min Price,Bulrush Millet (Uwele) Max Price,Wheat Grain (Ngano) Min Price,Wheat Grain (Ngano) Max Price
Dar es salaam Ilala,90000,100000,230000,300000,110000,130000,100000,130000,180000,180000,NA,NA,320000,350000,60000,65000
Dar es salaam Tandika,100000,110000,220000,300000,120000,140000,100000,110000,300000,330000,160000,180000,300000,360000,100000,100000
Dar es salaam Temeke,110000,110000,200000,310000,120000,150000,105000,120000,300000,315000,160000,170000,300000,360000,92000,100000
Dar es salaam Tandale,100000,100000,230000,350000,120000,130000,110000,110000,270000,270000,160000,170000,320000,360000,80000,85000
Dar es salaam Ubungo,NA,NA,220000,260000,NA,NA,NA,NA,NA,NA,330000,330000,65000,70000,NA,NA
Dar es salaam Mwananyamala,110000,110000,220000,340000,120000,120000,110000,110000,300000,300000,160000,160000,320000,400000,80000,85000
Dar es salaam Buguruni,100000,120000,220000,300000,150000,160000,130000,140000,300000,300000,150000,150000,280000,300000,90000,95000
Kilimanjaro Moshi,75000,80000,320000,360000,200000,200000,150000,150000,280000,280000,180000,180000,200000,200000,120000,120000
Singida Namfua,9000,90000,270000,270000,200000,200000,200000,200000,250000,250000,200000,200000,260000,260000,120000,120000
Arusha Kilombero,85000,87000,270000,320000,85000,90000,90000,95000,155000,156000,102000,105000,200000,220000,100000,120000
Dodoma Majengo,80000,90000,250000,300000,100000,120000,80000,85000,250000,270000,150000,165000,250000,280000,65000,70000
Morogoro Morogoro,82000,85900,260000,280000,170000,180000,120000,130000,160000,170000,120000,120000,260000,270000,117000,120000
Mtwara Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
Lindi Lindi mjini,90000,100000,250000,350000,200000,250000,300000,350000,300000,300000,350000,400000,280000,320000,115000,120000
Iringa Iringa,70000,75000,250000,300000,180000,200000,180000,200000,230000,250000,170000,180000,230000,250000,120000,130000
Mara Musoma,80000,95000,190000,200000,200000,260000,180000,250000,300000,320000,200000,300000,260000,320000,140000,150000
Tanga Mgandini,140000,140000,270000,290000,140000,140000,200000,200000,300000,300000,200000,200000,220000,240000,80000,80000
Songwe Songwe,60000,61500,270000,300000,300000,300000,300000,300000,300000,300000,300000,300000,270000,300000,150000,150000
Tabora Tabora,90000,95000,240000,280000,170000,200000,150000,200000,230000,250000,220000,230000,210000,230000,100000,120000
Geita Nyankumbu,95000,95000,220000,220000,150000,150000,200000,200000,180000,180000,180000,180000,320000,320000,100000,100000
Kagera Bukoba,90000,100000,170000,300000,160000,170000,160000,170000,260000,280000,180000,200000,180000,200000,80000,90000
Katavi Majengo,80000,80000,250000,250000,70000,70000,NA,NA,300000,300000,300000,300000,150000,150000,NA,NA
Manyara BabatiTC,66000,78000,170000,300000,100000,120000,100000,120000,140000,150000,130000,150000,210000,240000,95000,115000
Mbeya Igawilo/Soweto,60000,75000,230000,270000,190000,260000,200000,230000,260000,300000,200000,220000,290000,350000,70000,10000
Ruvuma Songea,52000,54000,220000,320000,55000,60000,NA,NA,200000,230000,NA,NA,180000,200000,810000,84000
Shinyanga Shinyanga,70000,75000,190000,230000,140000,150000,100000,100000,240000,250000,200000,200000,200000,220000,80000,90000
Mwanza Mwanza,95000,100000,250000,350000,140000,170000,130000,150000,220000,250000,NA,NA,230000,270000,90000,110000
Pwani Mnalani,90000,90000,200000,220000,180000,200000,180000,200000,200000,230000,230000,230000,280000,300000,140000,150000
Simiyu Bariadi TC,100000,120000,280000,290000,200000,250000,200000,250000,250000,300000,200000,250000,270000,300000,130000,150000
Kigoma Kigoma,77700,77700,230000,250000,100000,120000,100000,120000,200000,220000,200000,200000,160000,180000,80000,90000
Njombe Makambako,55600,58300,225000,250000,80000,90000,NA,NA,150000,175000,110000,200000,200000,230000,100000,120000
Rukwa Sumbawanga,72000,75000,230000,280000,NA,NA,NA,NA,150000,180000,150000,150000,200000,310000,70000,75000
